name,name_cs
"Minerals, Sweet And Sour Pork, Chinese restaurant (MI1) - NFY0903O3","Minerály, sladkokyselé vepřové maso, čínská restaurace (MI1) - NFY0903O3"
"Minerals, Sweet And Sour Pork, Chinese restaurant (NC1) - NFY0903N4","Minerály, sladkokyselé vepřové maso, čínská restaurace (NC1) - NFY0903N4"
"Minerals, Sweet And Sour Pork, Chinese restaurant (NY1) - NFY0903MC","Minerály, sladkokyselé vepřové maso, čínská restaurace (NY1) - NFY0903MC"
"Minerals, Sweet And Sour Pork, Chinese restaurant (VA3) - NFY0903OA","Minerály, sladkokyselé vepřové maso, čínská restaurace (VA3) - NFY0903OA"
"Minerals, Sweet And Sour Pork, Chinese restaurant (VA) - NFY0903MJ","Minerály, sladkokyselé vepřové maso, čínská restaurace (VA) - NFY0903MJ"
"Minerals, Sweet And Sour Pork, Chinese restaurant (WV) - NFY0903NW","Minerály, sladkokyselé vepřové maso, čínská restaurace (WV) - NFY0903NW"
"Minerals, Tamale, Pork (CA-AL,IL) - NFY09027T","Minerály, tamale, vepřové maso (CA-AL,IL) - NFY09027T"
"Minerals, Tamale, Pork (CA-LA,CA-SD) - NFY0902AH","Minerály, tamale, vepřové maso (CA-LA, CA-SD) - NFY0902AH"
"Minerals, Tamale, Pork (CA-SB) - NFY09028Z","Minerály, tamale, vepřové maso (CA-SB) - NFY09028Z"
"Minerals, Tamale, Pork (NM) - NFY09029B","Minerály, tamale, vepřové maso (NM) - NFY09029B"
"Minerals, Tamale, Pork (TX-HA,NV) - NFY0902A5","Minerály, tamale, vepřové maso (TX-HA,NV) - NFY0902A5"
"Minerals, Tamale, Pork (TX-TR) - NFY090285","Minerály, tamale, vepřové maso (TX-TR) - NFY090285"
"Minerals, Tomatoes, diced, canned, DEL MONTE (CO, CT) - NFY120AN3","Minerály, rajčata, nakrájená, konzervovaná, DEL MONTE (CO, CT) - NFY120AN3"
"Minerals, Tomatoes, diced, canned, DEL MONTE (FL, MO) - NFY120AN9","Minerály, rajčata, nakrájená, konzervovaná, DEL MONTE (FL, MO) - NFY120AN9"
"Minerals, Tomatoes, diced, canned, DEL MONTE (MI, OK) - NFY120ANG","Minerály, rajčata, nakrájená na kostičky, konzerva, DEL MONTE (MI, OK) - NFY120ANG"
"Minerals, Tomatoes, diced, canned, DEL MONTE (NC, NY) - NFY120AMJ","Minerály, rajčata, nakrájená, konzervovaná, DEL MONTE (NC, NY) - NFY120AMJ"
"Minerals, Tomatoes, diced, canned, HUNTS (AL, CA1) - NFY120ALN","Minerály, rajčata, kostky, konzervy, LOV (AL, CA1) - NFY120ALN"
"Minerals, Tomatoes, diced, canned, HUNTS (CA2, NC) - NFY120ALT","Minerály, rajčata, kostky, konzervy, LOV (CA2, NC) - NFY120ALT"
"Minerals, Tomatoes, diced, canned, HUNTS (CO, CT) - NFY120AM0","Minerály, rajčata, kostky, konzervy, LOV (CO, CT) - NFY120AM0"
"Minerals, Tomatoes, diced, canned, HUNTS (FL, MO) - NFY120AM6","Minerály, rajčata, kostky, konzervy, LOV (FL, MO) - NFY120AM6"
"Minerals, Tomatoes, diced, canned, HUNTS (IN, NY) - NFY120ALG","Minerály, rajčata, nakrájené na kostičky, konzervované, LOVY (IN, NY) - NFY120ALG"
"Minerals, Tomatoes, diced, canned, HUNTS (MI, OK) - NFY120AMD","Minerály, rajčata, kostky, konzervy, LOV (MI, OK) - NFY120AMD"
"Minerals, Tomatoes, diced, canned, STORE BRAND, BIG DAISY & SAFEWAY KITCHENS (CO, CT) - NFY120AO6","Minerály, rajčata, nakrájená na kostičky, konzervy, ZNAČKA OBCHODU, KUCHYNĚ BIG DAISY & SAFEWAY (CO, CT) - NFY120AO6"
"Minerals, Tomatoes, diced, canned, STORE BRAND, GREAT VALUE (AL, OK) - NFY120ANT","Minerály, rajčata, nakrájené na kostičky, konzervy, ZNAČKA OBCHODU, VELKÁ HODNOTA (AL, OK) - NFY120ANT"
"Minerals, Tomatoes, diced, canned, STORE BRAND, GREAT VALUE & S&W PREMIUM (AL, CA1) - NFY120AMQ","Minerály, rajčata, nakrájená na kostičky, konzervy, ZNAČKA OBCHOD, VELKÁ HODNOTA A S&W PREMIUM (AL, CA1) - NFY120AMQ"
"Minerals, Tomatoes, diced, canned, STORE BRAND, HYTOP PREMIUM QUALITY & AMERICAS CHOICE (CA1, NY) - NFY120AOJ","Minerály, rajčata, nakrájená na kostičky, konzervy, ZNAČKA OBCHODU, HYTOP PREMIUM QUALITY & AMERICAS CHOICE (CA1, NY) - NFY120AOJ"
"Minerals, Tomatoes, diced, canned, STORE BRAND, HY VEE & PUBLIX (FL, MO) - NFY120AOC","Minerály, rajčata, kostky, konzervy, ZNAČKA OBCHODU, HY VEE & PUBLIX (FL, MO) - NFY120AOC"
"Minerals, Tomatoes, diced, canned, STORE BRAND, KROGER BRAND (IN, MI) - NFY120ANM","Minerály, rajčata, nakrájené na kostičky, konzervy, ZNAČKA STORE, ZNAČKA KROGER (IN, MI) - NFY120ANM"
"Minerals, Tomatoes, diced, canned, STORE BRAND, SUNNY SELECT & VINE RIPE (CA2, NC) - NFY120ANZ","Minerály, rajčata, kostky, konzervy, ZNAČKA STORE, SUNNY SELECT & VINE RIPE (CA2, NC) - NFY120ANZ"
"Minerals, Tomatoes, diced, canned, VALUE TIME (CA2) - NFY120AMW","Minerály, rajčata, nakrájené na kostky, konzervy, ČASOVÁ HODNOTA (CA2) - NFY120AMW"
"Minerals, Tuna, canned, in water, drained solids,  BUMBLEBEE CHUNK LIGHT, IN WATER  (AL,CA1) - NFY090S0J","Minerály, tuňák, konzerva, ve vodě, odkapané pevné látky, ČMELÁK HLADKÝ, VE VODĚ (AL,CA1) - NFY090S0J"
"Minerals, Tuna, canned, in water, drained solids,  BUMBLEBEE CHUNK LIGHT, IN WATER  (CA2,NC) - NFY090S12","Minerály, tuňák, konzervovaný, ve vodě, odkapané pevné látky, BUMBLEBEE CHUNK LIGHT, VE VODĚ (CA2,NC) - NFY090S12"
"Minerals, Tuna, canned, in water, drained solids,  BUMBLEBEE CHUNK LIGHT, IN WATER  (CO,CT) - NFY090S1A","Minerály, tuňák, konzervovaný, ve vodě, odkapané pevné látky, ČMELÍK LIGHT, VE VODĚ (CO,CT) - NFY090S1A"
"Minerals, Tuna, canned, in water, drained solids,  BUMBLEBEE CHUNK LIGHT, IN WATER  (FL,MO) - NFY090S1J","Minerály, tuňák, konzerva, ve vodě, scezené pevné látky, ČMELÍK HLADKÝ, VE VODĚ (FL,MO) - NFY090S1J"
"Minerals, Tuna, canned, in water, drained solids,  BUMBLEBEE CHUNK LIGHT, IN WATER  (IN,NY) - NFY090S0A","Minerály, tuňák, konzervovaný, ve vodě, scezené pevné látky, ČMELÍK HLADKÝ, VE VODĚ (IN,NY) - NFY090S0A"
"Minerals, Tuna, canned, in water, drained solids,  BUMBLEBEE CHUNK LIGHT, IN WATER  (MI,OK) - NFY090S1R","Minerály, tuňák, konzervovaný, ve vodě, odkapané pevné látky, ČMELÁK HLADKÝ, VE VODĚ (MI,OK) - NFY090S1R"
"Minerals, Tuna, canned, in water, drained solids,  CHICKEN OF THE SEA CHUNK LIGHT, IN WATER  (CO,CT) - NFY090S30","Minerály, tuňák, konzervovaný, ve vodě, odkapané pevné látky, KUŘE Z MOŘSKÉHO KURZU LIGHT, VE VODĚ (CO,CT) - NFY090S30"
"Minerals, Tuna, canned, in water, drained solids,  CHICKEN OF THE SEA CHUNK LIGHT, IN WATER  (FL,MO) - NFY090S39","Minerály, tuňák, konzerva, ve vodě, odkapané pevné látky, KUŘE Z MOŘSKÉHO KURZU LIGHT, VE VODĚ (FL,MO) - NFY090S39"
"Minerals, Tuna, canned, in water, drained solids,  CHICKEN OF THE SEA CHUNK LIGHT, IN WATER  (IN,NY) - NFY090S20","Minerály, tuňák, konzerva, ve vodě, scezené pevné látky, KUŘECÍ Z MOŘSKÉHO KURZU LIGHT, VE VODĚ (IN,NY) - NFY090S20"
"Minerals, Tuna, canned, in water, drained solids,  CHICKEN OF THE SEA CHUNK LIGHT, IN WATER  (MI,OK) - NFY090S3H","Minerály, tuňák, konzervovaný, ve vodě, odkapané pevné látky, KUŘECÍ KUŘE Z SEA CHUNK LIGHT, VE VODĚ (MI,OK) - NFY090S3H"
"Minerals, Tuna, canned, in water, drained solids,  CHICKEN OF THE SEA CHUNK LIGHT, IN WATER  (VA,CA1) - NFY090S29","Minerály, tuňák, konzervovaný, ve vodě, odkapané pevné látky, KUŘE Z MOŘSKÉHO KUŘE LIGHT, VE VODĚ (VA,CA1) - NFY090S29"
"Minerals, Tuna, canned, in water, drained solids,  CHICKEN OF THE SEA CHUNK LIGHT, IN WATER  (VA,NC) - NFY090S2S","Minerály, tuňák, konzerva, ve vodě, odkapané pevné látky, KUŘE Z MOŘSKÉHO KUŘE LIGHT, VE VODĚ (VA,NC) - NFY090S2S"
"Minerals, Tuna, canned, in water, drained solids,  STARKIST, CHUNK LIGHT, IN WATER  (AL,CA1) - NFY090S3Z","Minerály, tuňák, konzerva, ve vodě, odkapané pevné látky, STARKIST, CHUNK LIGHT, VE VODĚ (AL,CA1) - NFY090S3Z"
"Minerals, Tuna, canned, in water, drained solids,  STARKIST, CHUNK LIGHT, IN WATER  (CA2,NC) - NFY090S4I","Minerály, tuňák, konzervovaný, ve vodě, odvodněné pevné látky, STARKIST, CHUNK LIGHT, VE VODĚ (CA2,NC) - NFY090S4I"
"Minerals, Tuna, canned, in water, drained solids,  STARKIST, CHUNK LIGHT, IN WATER  (CO,CT) - NFY090S4Q","Minerály, tuňák, konzervovaný, ve vodě, odkapané pevné látky, STARKIST, CHUNK LIGHT, VE VODĚ (CO,CT) - NFY090S4Q"
"Minerals, Tuna, canned, in water, drained solids,  STARKIST, CHUNK LIGHT, IN WATER  (FL,MO) - NFY090S4Z","Minerály, tuňák, konzerva, ve vodě, odkapané pevné látky, STARKIST, CHUNK LIGHT, VE VODĚ (FL,MO) - NFY090S4Z"
"Minerals, Tuna, canned, in water, drained solids,  STARKIST, CHUNK LIGHT, IN WATER  (IN,NY) - NFY090S3Q","Minerály, tuňák, konzerva, ve vodě, odkapané pevné látky, STARKIST, CHUNK LIGHT, VE VODĚ (IN,NY) - NFY090S3Q"
"Minerals, Tuna, canned, in water, drained solids,  STARKIST, CHUNK LIGHT, IN WATER  (MI,OK) - NFY090S57","Minerály, tuňák, konzervy, ve vodě, odkapané pevné látky, STARKIST, CHUNK LIGHT, VE VODĚ (MI,OK) - NFY090S57"
"Minerals, Tuna, canned, in water, drained solids, store brand,  AMERICAS CHOICE &  KROGER (IN,NY) - NFY090S5G","Minerály, tuňák, konzervovaný, ve vodě, odkapané pevné látky, značka obchodu, AMERICAS CHOICE & KROGER (IN,NY) - NFY090S5G"
"Minerals, Tuna, canned, in water, drained solids, store brand,  GREAT VALUE &  KROGER (MI,OK) - NFY090S6X","Minerály, tuňák, konzerva, ve vodě, odkapané pevné látky, značka obchodu, SKVĚLÁ HODNOTA & KROGER (MI,OK) - NFY090S6X"
"Minerals, Tuna, canned, in water, drained solids, store brand,  GREAT VALUE &  MIDWEST COUNTRY FARE (FL,MO) - NFY090S6P","Minerály, tuňák, konzervovaný, ve vodě, odkapané pevné látky, značka obchodu, SKVĚLÁ HODNOTA A STŘEDOZÁPAD COUNTRY CARRE (FL,MO) - NFY090S6P"
"Minerals, Tuna, canned, in water, drained solids, store brand,  GREAT VALUE &  SAFEWAY (AL,CA1) - NFY090S5P","Minerály, tuňák, konzervovaný, ve vodě, odkapané pevné látky, značka obchodu, VELKÁ HODNOTA & SAFEWAY (AL,CA1) - NFY090S5P"
"Minerals, Tuna, canned, in water, drained solids, store brand,  MY ESSENTIALS &  SUNNY SELECT (CA2,NC) - NFY090S68","Minerály, tuňák, konzerva, ve vodě, odkapané pevné látky, značka obchodu, MY ESSENTIALS & SUNNY SELECT (CA2,NC) - NFY090S68"
"Minerals, Tuna, canned, in water, drained solids, store brand,  SAFEWAY &  SHOP RITE (CO,CT) - NFY090S6G","Minerály, tuňák, konzervovaný, ve vodě, odkapané pevné látky, značka obchodu, SAFEWAY & SHOP RITE (CO,CT) - NFY090S6G"
"Minerals, White bread, PEPPERIDGE FARMS (CO1,CT1) - NFY0907MX","Minerály, bílý chléb, FARMY PEPPERIDGE (CO1,CT1) - NFY0907MX"
"Minerals, White bread, PEPPERIDGE FARMS (FL1,MO1) - NFY0907NH","Minerály, bílý chléb, FARMY PEPPERIDGE (FL1,MO1) - NFY0907NH"
"Minerals, White bread, PEPPERIDGE FARMS (NC1,NY1,MI1) - NFY0907OL","Minerály, bílý chléb, PEPPERIDGE FARMS (NC1,NY1,MI1) - NFY0907OL"
"Minerals, White bread, SARA LEE SOFT AND SMOOTH CLASSIC WHOLE (AL1,CA1) - NFY0907PP","Minerály, bílý chléb, SARA LEE MĚKKÝ A HLADKÝ KLASICKÝ CELÝ (AL1,CA1) - NFY0907PP"
"Minerals, White bread, SARA LEE SOFT AND SMOOTH CLASSIC WHOLE (IN1,MO1) - NFY0907P5","Minerály, bílý chléb, SARA LEE MĚKKÝ A HLADKÝ KLASICKÝ CELÝ (IN1,MO1) - NFY0907P5"
"Minerals, White bread, store brand, AMERICAS CHOICE LARGE WHITE (NY1) - NFY0907IG","Minerály, bílý chléb, značka obchodu, AMERICAS CHOICE LARGE WHITE (NY1) - NFY0907IG"
"Minerals, White bread, store brand, FOOD WORLD SANDWICH BREAD (AL1) - NFY0907IR","Minerály, bílý chléb, značka obchodu, FOOD WORLD SANDWICH BREAD (AL1) - NFY0907IR"
"Minerals, White bread, store brand, GREAT VALUE WHITE (OK1) - NFY0907LI","Minerály, bílý chléb, značka obchodu, VELKÁ HODNOTA BÍLÁ (OK1) - NFY0907LI"
"Minerals, White bread, store brand, KROGER BREAD (IN1) - NFY0907I5","Minerály, bílý chléb, značka obchodu, KROGER BREAD (IN1) - NFY0907I5"
"Minerals, White bread, store brand, KROGER BREAD (MI1) - NFY0907L7","Minerály, bílý chléb, značka obchodu, KROGER BREAD (MI1) - NFY0907L7"
"Minerals, White bread, store brand, LOWES FOOD STORE (NC1) - NFY0907JO","Minerály, bílý chléb, značka obchodu, LOWES FOOD STORE (NC1) - NFY0907JO"
"Minerals, White bread, store brand, PUBLIX BREAD (FL1) - NFY0907KL","Minerály, bílý chléb, značka obchodu, PUBLIX BREAD (FL1) - NFY0907KL"
"Minerals, White bread, store brand, SAFEWAY PREMIUM WHITE (CA1) - NFY0907J2","Minerály, bílý chléb, značka obchodu, SAFEWAY PREMIUM WHITE (CA1) - NFY0907J2"
"Minerals, White bread, store brand, SAFEWAY PREMIUM WHITE (CO1) - NFY0907JZ","Minerály, bílý chléb, značka obchodu, SAFEWAY PREMIUM WHITE (CO1) - NFY0907JZ"
"Minerals, White bread, store brand, SHOP RITE ROUND TOP WHITE (CT1) - NFY0907KA","Minerály, bílý chléb, značka obchodu, SHOP RITE ROUND TOP WHITE (CT1) - NFY0907KA"
"Minerals, White bread, store brand, SUNNYSIDE FARMS BREAD (CA2) - NFY0907JD","Minerály, bílý chléb, značka obchodu, SUNNYSIDE FARMS BREAD (CA2) - NFY0907JD"
"Minerals, Whole wheat bread, NATURES OWN (AL,OK) - NFY1204OH","Minerály, celozrnný chléb, VLASTNÍ PŘÍRODY (AL,OK) - NFY1204OH"
"Minerals, Whole wheat bread, NATURES OWN (FL,NC) - NFY1204Q2","Minerály, celozrnný chléb, VLASTNÍ PŘÍRODY (FL,NC) - NFY1204Q2"
"Minerals, Whole wheat bread, NATURES OWN (IN,CT) - NFY1204P9","Minerály, celozrnný chléb, VLASTNÍ PŘÍRODY (IN,CT) - NFY1204P9"
"Minerals, Whole wheat bread, Store brand/other (AL,OK) - NFY1204QU","Minerály, Celozrnný chléb, Značka obchodu/jiná (AL,OK) - NFY1204QU"
"Minerals, Whole wheat bread, Store brand/other (CA1,CO) - NFY1204RL","Minerály, Celozrnný chléb, Značka obchodu/jiné (CA1,CO) - NFY1204RL"
"Minerals, Whole wheat bread, Store brand/other (CA2,CT) - NFY1204RD","Minerály, Celozrnný chléb, Značka obchodu/jiné (CA2,CT) - NFY1204RD"
"Minerals, Whole wheat bread, Store brand/other (FL,MO) - NFY1204S4","Minerály, Celozrnný chléb, Značka obchodu/jiné (FL,MO) - NFY1204S4"
"Minerals, Whole wheat bread, Store brand/other (IN,NY) - NFY1204QL","Minerály, Celozrnný chléb, Značka obchodu/jiné (IN,NY) - NFY1204QL"
"Minerals, Whole wheat bread, Store brand/other (MI,NC) - NFY1204SE","Minerály, Celozrnný chléb, Značka obchodu/jiná (MI,NC) - NFY1204SE"
"Minerals, Whole wheat bread, STROEHMANN DUTCH COUNTY (NY) - NFY1204M4","Minerály, celozrnný chléb, STROEHMANN DUTCH COUNTY (NY) - NFY1204M4"
"Minerals, Yogurt, Greek, strawberry, non-fat, CHOBANI (AL,CA1) - NFY120OP8","Minerály, jogurt, řecký, jahodový, odtučněný, CHOBANI (AL,CA1) - NFY120OP8"
"Minerals, Yogurt, Greek, strawberry, non-fat, CHOBANI (CA2,NC) - NFY120OPE","Minerály, jogurt, řecký, jahodový, odtučněný, CHOBANI (CA2,NC) - NFY120OPE"
"Minerals, Yogurt, Greek, strawberry, non-fat, CHOBANI (CO,CT) - NFY120OPU","Minerály, jogurt, řecký, jahodový, odtučněný, CHOBANI (CO,CT) - NFY120OPU"
"Minerals, Yogurt, Greek, strawberry, non-fat, CHOBANI (FL,MO) - NFY120OQ0","Minerály, jogurt, řecký, jahodový, odtučněný, CHOBANI (FL,MO) - NFY120OQ0"
"Minerals, Yogurt, Greek, strawberry, non-fat, CHOBANI (IN,NY) - NFY120OOT","Minerály, jogurt, řecký, jahodový, odtučněný, CHOBANI (IN,NY) - NFY120OOT"
"Minerals, Yogurt, Greek, strawberry, non-fat, CHOBANI (MI,OK) - NFY120OQH","Minerály, jogurt, řecký, jahodový, odtučněný, CHOBANI (MI,OK) - NFY120OQH"
"Minerals, Yogurt, Greek, strawberry, non-fat, DANNON OIKOS (AL,CA1) - NFY120ON8","Minerály, jogurt, řecký, jahodový, odtučněný, DANNON OIKOS (AL,CA1) - NFY120ON8"
"Minerals, Yogurt, Greek, strawberry, non-fat, DANNON OIKOS (CA2,NC) - NFY120ONG","Minerály, jogurt, řecký, jahodový, odtučněný, DANNON OIKOS (CA2,NC) - NFY120ONG"
"Minerals, Yogurt, Greek, strawberry, non-fat, DANNON OIKOS (CO,CT) - NFY120ONZ","Minerály, jogurt, řecký, jahodový, odtučněný, DANNON OIKOS (CO,CT) - NFY120ONZ"
"Minerals, Yogurt, Greek, strawberry, non-fat, DANNON OIKOS (FL,MO) - NFY120OO6","Minerály, jogurt, řecký, jahodový, odtučněný, DANNON OIKOS (FL,MO) - NFY120OO6"
"Minerals, Yogurt, Greek, strawberry, non-fat, DANNON OIKOS (IN,NY) - NFY120OMP","Minerály, jogurt, řecký, jahodový, odtučněný, DANNON OIKOS (IN,NY) - NFY120OMP"
"Minerals, Yogurt, Greek, strawberry, non-fat, DANNON OIKOS (MI,OK) - NFY120OOK","Minerály, jogurt, řecký, jahodový, odtučněný, DANNON OIKOS (MI,OK) - NFY120OOK"
"Minerals, Yogurt, Greek, strawberry, non-fat, FAGE TOTAL (CA1,OK) - NFY120OQQ","Minerály, jogurt, řecký, jahodový, odtučněný, FAGE TOTAL (CA1,OK) - NFY120OQQ"
"Minerals, Yogurt, Greek, strawberry, non-fat, FAGE TOTAL (CA2,CO) - NFY120ORZ","Minerály, jogurt, řecký, jahodový, odtučněný, FAGE TOTAL (CA2,CO) - NFY120ORZ"
"Minerals, Yogurt, Greek, strawberry, non-fat, FAGE TOTAL (FL,CT) - NFY120PA5","Minerály, jogurt, řecký, jahodový, odtučněný, FAGE TOTAL (FL,CT) - NFY120PA5"
"Minerals, Yogurt, Greek, strawberry, non-fat, FAGE TOTAL (NY,NC) - NFY120ORD","Minerály, jogurt, řecký, jahodový, odtučněný, FAGE TOTAL (NY,NC) - NFY120ORD"
"Mission Figs, Dried, Region 1, n/a, No, Minerals  - NFY01","Mise fíky, sušené, oblast 1, neuvádí se, ne, minerály – NFY01"
"Mission Figs, Dried, Region 1, n/a, No, Proximates  - NFY","Mise Figs, Sušené, Region 1, n/a, Ne, Proximates - NFY"
"Mission Figs, Dried, Region 2, n/a, Yes, Minerals  - NFY0","Mise Fíky, Sušené, Oblast 2, n/a, Ano, Minerály - NFY0"
"Mission Figs, Dried, Region 2, n/a, Yes, Proximates  - NF","Mise Fíky, Sušené, Oblast 2, n/a, Ano, Blízké - NF"
"Mission Figs, Dried, Region 3, n/a, Yes, Minerals  - NFY0","Mise Fíky, Sušené, Oblast 3, n/a, Ano, Minerály - NFY0"
"Mission Figs, Dried, Region 3, n/a, Yes, Proximates  - NF","Mise Fíky, Sušené, Oblast 3, n/a, Ano, Blízké - NF"
"Mission Figs, Dried, Region 4, n/a, No, Minerals  - NFY01","Mise fíky, sušené, oblast 4, n/a, Ne, minerály – NFY01"
"Mission Figs, Dried, Region 4, n/a, No, Proximates  - NFY","Mise Figs, Sušené, Region 4, n/a, Ne, Proximates - NFY"
"Mléko","Mléko"
"Mleté maso mix","Směs Mleté maso"
"monterey jack cheese, block","monterey jack sýr, blok"
"Mozzarella","mozzarella"
"Mražená zelenina","Mražená zelenina"
"Mrkev","Mrkev"
"Mungo klíčky","Mungo klíčky"
"Mushroom, beech","Houba, buk"
"Mushroom, crimini","Houba, crimini"
"Mushroom, enoki","Houba, enoki"
"Mushroom, king oyster","Houba, ústřice královská"
"Mushroom, lion's mane","Houba, lví hříva"
"Mushroom, maitake","Houby, maitake"
"Mushroom, oyster","Houba, ústřice"
"Mushroom, pioppini","Houby, pioppini"
"Mushroom, portabella","Houba, portabella"
"mushrooms, crimini","houby, crimini"
"mushrooms, enoki","houby, enoki"
"mushrooms, hon-shimiji (beech), white","houby, hon-shimiji (buk), bílé"
"mushrooms, king oyster","houby, hlíva královská"
"MUSHROOMS, LION'S MANE","HOUBY, LVÍ HŘÍVA"
"MUSHROOMS, LIONS MANE","HOUBY, LVÍ HŘÍVA"
"mushrooms, maitake","houby, maitake"
"MUSHROOMS, OYSTER","HOUBY, ÚSTRICE"
"mushrooms, pioppini","houby, pioppini"
"mushrooms, portabella","houby, portabella"
"Mushrooms, shiitake","Houby, shiitake"
"MUSHROOMS, SHIITAKE","HOUBY, SHIITAKE"
"Mushrooms, white button","Houby, bílé tlačítko"
"MUSHROOMS, WHITE BUTTON","HOUBY, BÍLÝ KNOFLÍK"
"Mušle","Mušle"
"Mustard, prepared, yellow","Hořčice, připravená, žlutá"
"Mustard, Yellow, Prepared, French's Classic Yellow Mustard, Minerals - NFY0210L1","Hořčice, žlutá, připravená, francouzská klasická žlutá hořčice, minerály - NFY0210L1"
"Mustard, Yellow, Prepared, French's Classic Yellow Mustard, Proximates - NFY0210KB","Hořčice, žlutá, připravená, francouzská klasická žlutá hořčice, nejbližší - NFY0210KB"
"Mustard, Yellow, Prepared, Store Brand, Minerals - NFY0210N4","Hořčice, žlutá, připravená, značka obchodu, minerály - NFY0210N4"
"Mustard, Yellow, Prepared, Store Brand, Minerals - NFY0210O5","Hořčice, žlutá, připravená, značka obchodu, minerály - NFY0210O5"
"Mustard, Yellow, Prepared, Store Brand, Proximates - NFY0210ME","Hořčice, žlutá, připravená, značka obchodu, nejbližší - NFY0210ME"
"Mustard, Yellow, Prepared, Store Brand, Proximates - NFY0210NF","Hořčice, žlutá, připravená, značka obchodu, nejbližší - NFY0210NF"
"Nectarines, fresh, Region 1, n/a, Yes - Minerals, Se, NF0008LS","Nektarinky, čerstvé, Oblast 1, neuvádí se, Ano – Minerály, Se, NF0008LS"
"Nectarines, fresh, Region 1, n/a, Yes - Proximates, NF0008LR","Nektarinky, čerstvé, Oblast 1, neuvádí se, Ano – Proximáty, NF0008LR"
"Nectarines, fresh, Region 2, n/a, Yes - Minerals, Se, NF0008MP","Nektarinky, čerstvé, Oblast 2, neuvádí se, Ano – Minerály, Se, NF0008MP"
"Nectarines, fresh, Region 2, n/a, Yes - Proximates, NF0008MO","Nektarinky, čerstvé, Oblast 2, neuvádí se, Ano – Proximates, NF0008MO"
"Nectarines, fresh, Region 3, n/a, Yes - Proximates, NF0008NF","Nektarinky, čerstvé, Oblast 3, neuvádí se, Ano – Proximáty, NF0008NF"
"Nectarines, fresh, Region 4, n/a, Yes - Minerals, Se, NF0008OD","Nektarinky, čerstvé, Oblast 4, neuvádí se, Ano – Minerály, Se, NF0008OD"
"Nectarines, fresh, Region 4, n/a, Yes - Proximates, NF0008OC","Nektarinky, čerstvé, Oblast 4, neuvádí se, Ano – Proximates, NF0008OC"
"Nectarines, raw","Nektarinky, syrové"
"Nectarines, Raw, Pass 2, Region 1, n/a, Yes, Minerals - NFY010BUB","Nektarinky, syrové, průchod 2, oblast 1, neuvádí se, ano, minerály – NFY010BUB"
"Nectarines, Raw, Pass 2, Region 1, n/a, Yes, Proximates - NFY010BU9","Nektarinky, syrové, průchod 2, oblast 1, neuvádí se, ano, blízké - NFY010BU9"
"Nectarines, Raw, Pass 2, Region 2, n/a, Yes, Minerals - NFY010BV7","Nektarinky, syrové, pass 2, region 2, neuvádí se, ano, minerály – NFY010BV7"
"Nectarines, Raw, Pass 2, Region 2, n/a, Yes, Proximates - NFY010BV5","Nektarinky, syrové, průchod 2, oblast 2, neuvádí se, ano, blízké - NFY010BV5"
"Nectarines, Raw, Pass 2, Region 3, n/a, Yes, Minerals - NFY010BW0","Nektarinky, syrové, průchod 2, oblast 3, neuvádí se, ano, minerály – NFY010BW0"
"Nectarines, Raw, Pass 2, Region 3, n/a, Yes, Proximates - NFY010BVY","Nektarinky, syrové, průchod 2, oblast 3, neuvádí se, ano, blízké - NFY010BVY"
"Nectarines, Raw, Pass 2, Region 4, n/a, Yes, Minerals - NFY010BWT","Nektarinky, syrové, průchod 2, oblast 4, neuvádí se, ano, minerály – NFY010BWT"
"Nectarines, Raw, Pass 2, Region 4, n/a, Yes, Proximates - NFY010BWR","Nektarinky, Syrové, Pass 2, Region 4, n/a, Ano, Proximates – NFY010BWR"
"Nevim","Nevim"
"Nuts, almonds, dry roasted, with salt added","Ořechy, mandle, nasucho pražené, se solí"
"Nuts, almonds, raw, whole","Ořechy, mandle, syrové, celé"
"Nuts, almonds, whole, raw","Ořechy, mandle, celé, syrové"
"Nuts, brazilnuts, raw","Ořechy, para ořechy, syrové"
"Nuts, cashew nuts, raw","Ořechy, kešu ořechy, syrové"
"Nuts, hazelnuts or filberts, raw","Ořechy, lískové ořechy nebo filbert, syrové"
"Nuts, macadamia nuts, raw","Ořechy, makadamové ořechy, syrové"
"Nuts, pecans, halves, raw","Ořechy, pekanové ořechy, půlky, syrové"
"Nuts, pecans, raw, halves","Ořechy, pekanové ořechy, syrové, půlky"
"Nuts, pine nuts, raw","Ořechy, piniové oříšky, syrové"
"Nuts, pistachio nuts, raw","Ořechy, pistáciové oříšky, syrové"
"Nuts, walnuts, English, halves, raw","Ořechy, vlašské ořechy, anglické, půlky, syrové"
"Nuts, walnuts, English, raw, halves","Ořechy, vlašské ořechy, anglické, syrové, půlky"
"OATMEAL COOKIES WITH RAISINS, PEPPERIDGE FARM SOFT BAKED","OVESNÉ SUŠENKY S ROZINKAMI, PEPŘIKOVÁ FARM PEČENÁ NA MEMKO"
"OATMEAL COOKIES WITH RAISINS, STORE/OTHER BRAND","OVESNÉ SUŠENKY S ROZINKAMI, OBCHOD/JINÁ ZNAČKA"
"oat milk, refrigerated, unsweetened","ovesné mléko, chlazené, neslazené"
"Oat milk, unsweetened, plain, refrigerated","Ovesné mléko, neslazené, obyčejné, chlazené"
"Oats, whole grain, rolled, old fashioned","Oves, celozrnný, rolovaný, staromódní"
